Parameter,Sand 5-30 cm,Sand 30-75 cm,Slate 5-30 cm,Slate 30-75 cm,unit
ths,46.0177211837863,49.02200658296133,53.53731606452053,51.666301025496914,vol.%
thr,4.1,4.1,1.1,2.801958898988669,vol.%
alpha,0.839050330164091,1.7137650593921772,4.126257205207811,4.391873656553849,m-1
n,1.4687888193921699,1.6353975170472548,1.21,1.21,
m,0.3191669307410504,0.3885278719234444,0.17355371900826444,0.17355371900826444,
ks,7.442576151718872e-05,6.461398029374325e-05,0.0001924829104670238,0.0004131386330213634,ms-1
