TIMESTAMP,Sand_SM_10,Sand_SM_30,Sand_SM_50,Sand_SM_70,Sand_SM_90,Sand_SM_110,Sand_SM_130,Sand_SM_150,Sand_SM_170,Sand_SM_190,Sand_SM_210,Sand_SM_230,Slate_SM_10,Slate_SM_30,Slate_SM_50,Slate_SM_70,Slate_SM_90,Slate_SM_110,Slate_SM_130,Slate_SM_150,Slate_SM_170
2017-04-06T01:00:00,12.405,9.185,16.595,20.745,23.275,27.89,25.22,27.725,14.265,14.82,13.38,16.155,17.77,16.855,26.06,30.44,19.93,14.935,22.8,19.365,17.685000000000006
2017-04-06T01:30:00,12.405,9.19,16.6,20.745,23.27,27.905,25.225,27.735,14.255,14.83,13.39,16.155,17.8,16.86,26.05,30.43,19.93,14.94,22.79,19.37,17.634999999999994
2017-04-06T02:00:00,12.405,9.19,16.595,20.755000000000006,23.265,27.905,25.22,27.73,14.25,14.825,13.38,16.134999999999998,17.795,16.869999999999994,26.06,30.46,19.915,14.935,22.82,19.37,17.665
2017-04-06T02:30:00,12.41,9.18,16.595,20.735,23.270000000000003,27.915,25.215,27.725,14.25,14.825,13.38,16.16,17.805,16.83,26.055,30.425,19.93,14.925,22.795,19.36,17.635
2017-04-06T03:00:00,12.415,9.185,16.6,20.745,23.265,27.91,25.22,27.715,14.255,14.815,13.4,16.17,17.8,16.785,26.05,30.33,19.935,14.925,22.77,19.365,17.485
2017-04-06T03:30:00,12.4,9.18,16.59,20.745,23.26,27.9,25.22,27.71,14.245,14.815,13.395,16.16,17.775,16.825,26.045,30.375,19.92,14.93,22.78,19.365,17.450000000000006
2017-04-06T04:00:00,12.41,9.18,16.59,20.745,23.27,27.9,25.22,27.735,14.26,14.8,13.39,16.15,17.83,16.8,26.045,30.335,19.92,14.935,22.785,19.36,17.54
2017-04-06T04:30:00,12.41,9.18,16.595,20.755000000000006,23.265,27.905,25.215,27.725,14.255,14.815,13.38,16.165,17.835,16.79,26.05,30.34,19.915,14.935,22.78,19.365,17.465
2017-04-06T05:00:00,12.4,9.185,16.595,20.755000000000006,23.275,27.895,25.205,27.73,14.24,14.81,13.375,16.155,17.83,16.814999999999998,26.055,30.38,19.915,14.925,22.785,19.36,17.439999999999998
2017-04-06T05:30:00,12.41,9.18,16.6,20.735,23.27,27.9,25.21,27.725,14.245,14.815,13.375,16.155,17.83,16.814999999999998,26.045,30.365,19.92,14.92,22.775,19.365,17.54
2017-04-06T06:00:00,12.405,9.18,16.6,20.73,23.265,27.89,25.22,27.73,14.255,14.815,13.385000000000002,16.155,17.855,16.775,26.06,30.385,19.92,14.92,22.76,19.365,17.505
2017-04-06T06:30:00,12.41,9.175,16.615000000000002,20.75,23.27,27.905,25.23,27.72,14.25,14.81,13.375,16.16,17.86,16.810000000000002,26.065,30.365,19.925,14.93,22.78,19.365,17.46
2017-04-06T07:00:00,12.41,9.18,16.595,20.74,23.27,27.895,25.23,27.73,14.25,14.81,13.355,16.16,17.869999999999994,16.84,26.07,30.345,19.92,14.92,22.785,19.37,17.55
2017-04-06T07:30:00,12.415,9.185,16.605,20.74,23.270000000000003,27.9,25.25,27.74,14.255,14.81,13.38,16.15,17.87,16.86,26.05,30.36,19.92,14.92,22.78,19.365,17.509999999999998
2017-04-06T08:00:00,12.395,9.185,16.62,20.745,23.265,27.905,25.26,27.745,14.245,14.815,13.38,16.145,17.875,16.795,26.065,30.415,19.92,14.92,22.8,19.355,17.455
2017-04-06T08:30:00,12.41,9.185,16.605,20.75,23.265,27.9,25.25,27.765,14.25,14.82,13.37,16.14,17.88,16.84,26.07,30.415,19.92,14.93,22.785,19.365,17.465
2017-04-06T09:00:00,12.4,9.18,16.61,20.74,23.27,27.9,25.25,27.755,14.255,14.81,13.38,16.16,17.89,16.82,26.07,30.385,19.92,14.915,22.78,19.355,17.525
2017-04-06T09:30:00,12.395,9.175,16.61,20.745,23.270000000000003,27.9,25.255000000000006,27.755000000000006,14.25,14.82,13.37,16.134999999999998,17.884999999999994,16.83,26.065,30.39,19.915,14.935,22.775,19.355,17.505000000000006
2017-04-06T10:00:00,12.395,9.175,16.605,20.74,23.28,27.9,25.275,27.76,14.255,14.81,13.37,16.13,17.89,16.835,26.075,30.385,19.925,14.92,22.78,19.35,17.535
2017-04-06T10:30:00,12.39,9.18,16.615000000000002,20.75,23.270000000000003,27.915,25.255,27.745,14.26,14.81,13.364999999999998,16.134999999999998,17.9,16.84,26.06,30.37,19.925,14.93,22.755000000000006,19.355,17.485
2017-04-06T11:00:00,12.395,9.17,16.61,20.735,23.27,27.880000000000006,25.25,27.75,14.255,14.805,13.35,16.14,17.89,16.825,26.075,30.39,19.915,14.92,22.79,19.36,17.53
2017-04-06T11:30:00,12.38,9.175,16.615000000000002,20.745,23.275,27.905,25.235,27.770000000000003,14.26,14.81,13.36,16.145,17.88,16.835,26.065,30.38,19.93,14.915,22.785,19.36,17.495
2017-04-06T12:00:00,12.38,9.18,16.605,20.74,23.265,27.905,25.25,27.755,14.24,14.8,13.35,16.130000000000006,17.875,16.83,26.07,30.375,19.92,14.92,22.765,19.35,17.48
2017-04-06T12:30:00,12.364999999999998,9.165,16.615000000000002,20.735,23.265,27.895,25.265,27.745,14.25,14.805,13.375,16.134999999999998,17.875,16.825,26.065,30.39,19.92,14.93,22.78,19.365,17.495
2017-04-06T13:00:00,12.38,9.175,16.615000000000002,20.74,23.28,27.9,25.25,27.745,14.245,14.805,13.36,16.125,17.875,16.82,26.055,30.395,19.93,14.92,22.785,19.355,17.494999999999994
2017-04-06T13:30:00,12.364999999999998,9.17,16.605,20.735,23.270000000000003,27.895,25.265,27.735,14.255,14.805,13.365,16.13,17.87,16.83,26.055,30.375,19.92,14.93,22.775,19.35,17.490000000000002
2017-04-06T14:00:00,12.36,9.17,16.6,20.725,23.275,27.9,25.245,27.75,14.24,14.8,13.345,16.12,17.875,16.825,26.055,30.395,19.91,14.92,22.77,19.355,17.5
2017-04-06T14:30:00,12.35,9.165,16.6,20.735,23.265,27.895,25.265,27.75,14.245,14.805,13.36,16.14,17.87,16.835,26.055,30.37,19.92,14.92,22.775,19.35,17.475
2017-04-06T15:00:00,12.355,9.17,16.605,20.725,23.265,27.905,25.265,27.745,14.245,14.795,13.364999999999998,16.134999999999998,17.880000000000006,16.835,26.05,30.405,19.92,14.92,22.775,19.34,17.445
2017-04-06T15:30:00,12.35,9.17,16.61,20.735,23.265,27.895,25.255000000000006,27.735,14.24,14.795,13.35,16.14,17.875,16.825000000000006,26.065,30.37,19.925,14.92,22.765,19.34,17.41
2017-04-06T16:00:00,12.345,9.165,16.61,20.735,23.255000000000006,27.89,25.23,27.735,14.245,14.795,13.355,16.12,17.855,16.83,26.065,30.37,19.92,14.92,22.770000000000003,19.35,17.415
2017-04-06T16:30:00,12.335,9.17,16.6,20.74,23.265,27.9,25.23,27.72,14.24,14.8,13.355,16.134999999999998,17.855,16.84,26.05,30.4,19.915,14.92,22.775,19.345,17.435000000000002
2017-04-06T17:00:00,12.325,9.165,16.59,20.73,23.265,27.895,25.225,27.715,14.23,14.785,13.345,16.12,17.835,16.775,26.065,30.345,19.91,14.91,22.765,19.345,17.455
2017-04-06T17:30:00,12.33,9.165,16.58,20.735,23.265,27.895,25.22,27.705,14.225,14.78,13.355,16.115000000000002,17.855,16.785,26.055,30.355,19.905,14.925,22.775,19.335,17.395000000000003
2017-04-06T18:00:00,12.325,9.155,16.59,20.72,23.26,27.895,25.2,27.72,14.23,14.785,13.345,16.13,17.85,16.83,26.05,30.395,19.91,14.92,22.765,19.34,17.475
2017-04-06T18:30:00,12.32,9.165,16.59,20.72,23.27,27.9,25.200000000000006,27.715,14.22,14.77,13.35,16.13,17.865000000000006,16.825,26.045,30.425,19.91,14.92,22.775,19.34,17.535
2017-04-06T19:00:00,12.315,9.165,16.585,20.715,23.265,27.89,25.21,27.695,14.225,14.765,13.345,16.134999999999998,17.87,16.86,26.065,30.41,19.905,14.925,22.770000000000003,19.335,17.525
2017-04-06T19:30:00,12.32,9.165,16.575,20.73,23.255000000000006,27.89,25.205,27.7,14.23,14.775,13.345,16.119999999999994,17.869999999999994,16.84,26.05,30.41,19.9,14.915,22.76,19.33,17.485
2017-04-06T20:00:00,12.32,9.155,16.58,20.73,23.26,27.885,25.21,27.7,14.22,14.775,13.364999999999998,16.095,17.88,16.835,26.05,30.415,19.915,14.915,22.76,19.315,17.41
2017-04-06T20:30:00,12.335,9.16,16.59,20.72,23.265,27.89,25.200000000000006,27.700000000000006,14.215,14.775,13.37,16.125,17.89,16.84,26.07,30.41,19.915,14.915,22.765,19.33,17.52
2017-04-06T21:00:00,12.33,9.165,16.59,20.73,23.255000000000006,27.875,25.195,27.72,14.22,14.77,13.345,16.13,17.89,16.82,26.06,30.39,19.905,14.91,22.76,19.325,17.455
2017-04-06T21:30:00,12.325,9.16,16.585,20.725,23.255000000000006,27.89,25.18,27.71,14.22,14.77,13.345,16.13,17.89,16.82,26.055,30.380000000000006,19.9,14.925,22.765,19.33,17.42
2017-04-06T22:00:00,12.32,9.15,16.59,20.715,23.255000000000006,27.895,25.195,27.7,14.215,14.76,13.34,16.12,17.89,16.845,26.05,30.435,19.915,14.92,22.765,19.325,17.490000000000002
2017-04-06T22:30:00,12.32,9.155,16.58,20.74,23.27,27.885,25.19,27.715,14.215,14.78,13.345,16.12,17.89,16.895000000000003,26.05,30.41,19.905,14.92,22.770000000000003,19.325,17.505000000000006
2017-04-06T23:00:00,12.32,9.16,16.58,20.72,23.265,27.89,25.185,27.69,14.22,14.765,13.35,16.14,17.88,16.87,26.05,30.44,19.895,14.915,22.77,19.32,17.54
2017-04-06T23:30:00,12.325,9.15,16.59,20.72,23.255000000000006,27.880000000000006,25.185,27.69,14.215,14.765,13.34,16.13,17.89,16.884999999999998,26.055,30.425,19.905,14.925,22.775,19.32,17.564999999999998
2017-04-07T00:00:00,12.325,9.155,16.58,20.72,23.26,27.885,25.195,27.685,14.21,14.765,13.32,16.085,17.89,16.84,26.06,30.41,19.9,14.905,22.770000000000003,19.315,17.53
2017-04-07T00:30:00,12.33,9.145,16.585,20.72,23.26,27.89,25.18,27.695,14.2,14.755,13.35,16.12,17.9,16.854999999999997,26.05,30.42,19.895,14.915,22.775,19.32,17.494999999999994
2017-04-07T01:00:00,12.325,9.16,16.58,20.705,23.25,27.875,25.18,27.685,14.21,14.77,13.355,16.11,17.905,16.86,26.045,30.425,19.9,14.915,22.765,19.315,17.525
2017-04-07T01:30:00,12.325,9.145,16.57,20.715,23.255000000000006,27.885,25.175,27.69,14.215,14.765,13.32,16.1,17.91,16.865,26.06,30.42,19.91,14.905,22.765,19.32,17.494999999999994
2017-04-07T02:00:00,12.325,9.155,16.575,20.715,23.265,27.875,25.175,27.69,14.205,14.76,13.355,16.12,17.92,16.884999999999998,26.055,30.43,19.89,14.91,22.765,19.325,17.49
2017-04-07T02:30:00,12.325,9.15,16.575,20.715,23.245,27.880000000000006,25.175,27.69,14.21,14.755,13.345,16.12,17.945,16.875,26.05,30.42,19.885,14.91,22.785,19.32,17.485
2017-04-07T03:00:00,12.325,9.155,16.575,20.715,23.255000000000006,27.88,25.18,27.685,14.205,14.75,13.325,16.07,17.935000000000006,16.770000000000003,26.035,30.345,19.9,14.91,22.75,19.305,17.33
2017-04-07T03:30:00,12.315,9.14,16.57,20.705,23.245,27.88,25.175,27.675,14.205,14.755,13.33,16.09,17.905,16.795,26.025,30.325,19.895,14.905,22.735,19.32,17.35
2017-04-07T04:00:00,12.33,9.145,16.575,20.7,23.255000000000006,27.875,25.17,27.69,14.2,14.755,13.325,16.1,17.94,16.795,26.035,30.365,19.89,14.91,22.73,19.325,17.365000000000002
2017-04-07T04:30:00,12.315,9.145,16.585,20.705,23.25,27.880000000000006,25.165,27.675,14.195,14.755,13.35,16.11,17.955,16.795,26.04,30.35,19.885,14.9,22.73,19.315,17.365000000000002
2017-04-07T05:00:00,12.32,9.155,16.575,20.695,23.255,27.865,25.185,27.685,14.195,14.76,13.33,16.11,17.955,16.799999999999994,26.045,30.335,19.9,14.895,22.755000000000006,19.31,17.365
2017-04-07T05:30:00,12.315,9.145,16.57,20.715,23.26,27.895,25.16,27.685,14.2,14.755,13.335,16.11,17.97,16.825,26.04,30.33,19.895,14.905,22.735,19.31,17.35
2017-04-07T06:00:00,12.32,9.145,16.57,20.71,23.26,27.87,25.18,27.68,14.205,14.755,13.34,16.085,17.985,16.805,26.045,30.4,19.895,14.905,22.76,19.315,17.35
