Date,Sand_RWU_10,Sand_RWU_30,Sand_RWU_50,Sand_RWU_70,Sand_RWU_90,Sand_RWU_110,Sand_RWU_130,Sand_RWU_150,Sand_RWU_170,Sand_RWU_190,Sand_RWU_210,Sand_RWU_230,Slate_RWU_10,Slate_RWU_30,Slate_RWU_50,Slate_RWU_70,Slate_RWU_90,Slate_RWU_110,Slate_RWU_130,Slate_RWU_150,Slate_RWU_170
2017-04-05,,,,,,,,,,,,,,,,,,,,,
2017-04-06,0.022989177489183277,,,0.003099567099578593,,,0.05387651821863315,0.05286324041811241,,,,,,0.06523809523810442,,,,,,,
2017-04-07,0.11026315789474772,,,,0.008000000000031093,,,,,0.002631578947392299,,,,,,0.12087662337662408,,,,0.009684210526344827,
2017-04-08,0.043289102202148655,,,,,0.010736842105316668,0.0888739495798454,0.037992668782159456,0.002657894736859845,0.0031315789473911337,0.005605263157917761,,,,,,0.0027894736842384305,0.013236842105284197,,,
2017-04-09,0.021368421052651243,,,0.012026315789505304,,,,,,0.00300000000002143,,0.04857142857144936,,0.02842105263160022,0.011631578947405075,,,,0.017289473684240164,0.00044736842108505925,
2017-04-10,,0.0028947368421210484,,0.004078947368448382,,,0.002105263157933024,,,,,,,,,,,0.0008947368421257096,,0.006394736842132431,
2017-04-11,0.09971052631580513,,,,0.00984210526319984,0.007868421052670271,,0.04314607771262757,,0.00957894736844267,0.00555263157896313,,,0.045676470588237095,,,,,,,
2017-04-12,0.09068421052633369,,,,,,0.09029233870969122,,,,,,,,,,,0.014815789473704655,,,
2017-04-13,0.014578947368438122,,,,0.003789473684246758,,,0.004684210526349375,,,0.00807894736843906,,,,,,0.008473684210560606,0.001026315789493637,0.03221861471862297,0.0009473684210803412,
2017-04-14,0.020552631578960145,,0.0012105263158019852,0.009026315789501638,,0.004894736842153691,,,,0.009684210526339498,,,,0.06654626762984606,,,,,,,
2017-04-15,0.06460526315790993,,,0.011736842105289469,,,,,,0.014500000000017721,,,,,,,,,0.015315789473710595,,
2017-04-16,0.0361315789473835,,0.0002631578947500657,0.009631578947391972,0.011131578947399134,0.004236842105292737,,,,,0.0020789473684388327,,,,,,,,0.019000000000026773,,
2017-04-17,0.03286842105264576,,,0.0009736842105567689,0.0007368421052866836,,,,,0.006263157894750293,,,,,,,0.0143421052631858,,0.05162337662337535,,
2017-04-18,0.1068421052631745,,,,,,,,,,,,,,,,0.0068421052631819634,,,,
2017-04-19,0.10464705882353087,,,0.009184210526345993,,0.02786842105266274,,,,,,,,,,,,,,,
2017-04-20,0.12489581015942974,,,,,,,,,,,,,,,,,,,,
2017-04-21,0.12473684210527658,,,,0.01157894736845222,0.03421052631583166,,,,,,,,,,,,,,,
2017-04-22,,0.0058157894736936555,,,0.0010526315789647356,0.014342105263189353,0.009447368421081848,0.0031315789474035682,,,0.01694736842106792,,,0.03050595238096321,0.008763157894776441,,,,,0.004631578947392967,
2017-04-23,0.12679690679690658,,,,,,,,,5.263157896351345e-05,0.013263157894753519,,,,,,0.0007894736842288808,,,0.009394736842121887,
2017-04-24,0.1466842105263364,,,0.002763157894762003,,,,,,,,,,0.05541784302654662,,,,,,,
2017-04-25,,,0.0016315789473999587,,,,0.004473684210555717,,,,,,,,,0.1708571428571588,,,,,
2017-04-26,0.11998290598291206,0.011666666666679149,0.013771929824581974,,0.015614035087750722,0.0006140350877501533,,,,,,,,,,,,,,,
2017-04-27,0.1606467148262709,0.02871001031990872,,,0.005694874440976605,0.01707258341929574,,,,,0.005287237702079395,,,,,,0.0012091503267797066,,,,
2017-04-28,0.14602339181285195,0.01733746130030056,,,,0.004473684210488216,,,,,,,,0.052941176470579165,,,,,,,0.05975232198141356
2017-04-29,0.13517715858272084,0.0047316821465290815,,0.019398004815936787,0.02428964568280989,0.08016339869277189,0.003949088407260604,0.000698314413451584,,,,,,,,,0.01985552115580802,,,,
