TIMESTAMP,Sand_SF_inner,Sand_SF_mid,Sand_SF_outer,Slate_SF_inner,Slate_SF_mid,Slate_SF_outer
2017-05-01,6.320259661745426,7.21427794724731,6.4287115804990105,2.535130523041175,-2.0677040042724513,-3.307611820172958
2017-05-02,5.8985177458651155,6.748185997616177,6.151585386235409,0.5779900714804452,-3.006560529184118,-3.9129594026357637
2017-05-03,5.161035382852835,6.450684537489511,5.82404112584413,0.36517704023655334,-3.4007501464694783,-4.270239568040551
2017-05-04,5.530254383051612,6.363725915803187,5.606084309139924,0.2060523541528667,-3.0412347626340432,-3.8371006951880924
2017-05-05,7.1618263903398836,7.676724231474191,6.789503859490941,1.3961877588180118,-2.284196950486073,-3.473390836053207
2017-05-06,6.935624300562691,7.263011006343878,6.3394433587349885,1.1725209600794402,-2.206233905066186,-3.997092444787414
2017-05-07,7.27182463951221,7.507795394253768,7.017500036783981,2.2064017712310924,-1.6999992245615494,-3.0445063446967255
2017-05-08,9.14606664086993,8.603971486007143,7.446881986117185,1.2542864700980283,-1.8645632522645308,-3.8543703589746303
2017-05-09,11.301547606805997,10.010423904862447,8.356127452431922,3.488400591967816,-0.69511395326999,-3.145139902967297
2017-05-10,14.03543854274289,11.89383748861041,9.747202968290242,5.984064772757383,1.5546503516986063,-3.1138386286981152
2017-05-11,16.891523617359137,13.413714051287634,11.08337938367892,8.992958177919034,3.880191334096731,-2.705596776139256
2017-05-12,17.29246968870696,13.804233611722323,11.383649219373831,9.07722760736107,3.9881056810395066,-2.7040641470500297
2017-05-13,17.837840998859022,14.038781982016165,11.342272087700337,9.622915657767493,4.043596409472263,-2.727850168423368
2017-05-14,16.395982888686518,13.167445194790377,10.74552353337925,10.315269311569761,5.0667918639885015,-2.3102914374936656
2017-05-15,23.83098847956831,17.777666237605775,14.935177022079863,18.8997518480256,11.802009976769604,-1.1182053239551293
2017-05-16,29.071759777459743,20.98001646593041,17.50223251298589,27.942872370391495,20.000298747102185,0.5021655588415136
2017-05-17,35.446552415370654,24.98609152796837,20.724699887745736,35.27456027384816,26.056988964696156,2.1863465576788825
2017-05-18,20.68232366397915,16.05067271678215,12.949546624155131,12.43130771272925,6.864443055490099,-1.9257539701193214
2017-05-19,10.222251341766885,9.608224370975094,8.10575114510537,-5.711462814994117,-3.5184747497908346,-4.313910636105456
2017-05-20,20.568622101170504,15.856906632213446,13.30662545794692,19.16029213472191,12.525402249065106,-1.0298943951152733
2017-05-21,26.213926921437146,19.288287577085114,16.166367711111388,27.94164498672273,19.989779695421152,0.7603857710807803
2017-05-22,31.09799817260008,22.441619720463137,18.986820560263673,32.529133383042264,24.326436785260093,1.9113455484831494
